Rank,Name,Price,1h %,24h %,7d %,Market Cap,Volume,Circulating Supply
21,Zcash,$282.60,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
22,Litecoin,$59.85,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
23,Sui,$1.13,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
24,Avalanche,$10.08,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
25,Shiba Inu,$0.056797,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
26,Hedera,$0.09089,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
27,PayPal USD,$0.9994,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
28,World Liberty Financial,$0.1286,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
29,Toncoin,$1.36,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
30,Cronos,$0.08247,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
31,Polkadot,$1.51,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
32,Uniswap,$3.89,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
33,Tether Gold,"$4,902.21",0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
34,Mantle,$0.7257,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
35,PAX Gold,"$4,924.90",0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
36,Bitget Token,$3.06,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
37,Bittensor,$194.93,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
38,Aave,$126.52,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
39,MemeCore,$1.52,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
40,OKB,$87.42,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
41,Pepe,$0.054192,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
42,Global Dollar,$0.9995,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
43,MYX Finance,$6.26,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
44,NEAR Protocol,$1.19,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
45,Aster,$0.5916,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
46,Ethereum Classic,$9.66,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
47,Internet Computer,$2.68,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
48,Ripple USD,$0.9992,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
49,Sky,$0.06146,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
50,Pi,$0.1587,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
51,Ondo,$0.2812,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
52,Polygon (prev. MATIC),$0.1163,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
53,KuCoin Token,$9.25,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
54,Worldcoin,$0.4053,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
55,Ethena,$0.1388,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
56,USDD,$0.9988,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
57,Cosmos,$2.00,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
58,OFFICIAL TRUMP,$4.22,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
59,Aptos,$1.26,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
60,GateToken,$8.13,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
61,Algorand,$0.1054,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
62,Kaspa,$0.03320,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
63,Pump.fun,$0.002468,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
64,Flare,$0.01001,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
65,Quant,$67.41,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
66,Render,$1.56,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
67,Midnight,$0.04898,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
68,Filecoin,$1.07,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
69,Arbitrum,$0.1355,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
70,United Stables,$0.9992,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
71,VeChain,$0.008464,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
72,XDC Network,$0.03758,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
73,Jupiter,$0.1981,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
74,Bonk,$0.057159,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
75,Sei,$0.08917,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
76,Stacks,$0.3169,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
77,Dash,$43.73,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
78,LayerZero,$1.80,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
79,PancakeSwap,$1.57,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
80,Tezos,$0.4853,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
81,Nexo,$0.7997,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
82,TrueUSD,$0.9980,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
83,Stable,$0.02788,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
84,Story,$1.38,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
85,Pudgy Penguins,$0.007656,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
86,Morpho,$1.26,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
87,Chiliz,$0.04331,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
88,Optimism,$0.2279,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
89,First Digital USD,$0.9978,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
90,EURC,$1.17,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
91,Virtuals Protocol,$0.6422,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
92,Curve DAO Token,$0.2865,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
93,Artificial Superintelligence Alliance,$0.1822,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
94,Lighter,$1.62,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
95,DoubleZero,$0.1094,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
96,Kaia,$0.06027,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
97,JUST,$0.04194,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
98,Immutable,$0.1854,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
99,Injective,$3.65,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
100,Aerodrome Finance,$0.3959,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
